tree,pool_id,date,pool_type,height,water_capacity,leaflit_vol_ml,pH_strip,KH,hardness,no3,salinity,invert_diversity,dens_invert_total,predator_count,predator_size_sum,amphib_diversity,tadpoles_other,tp_femo_hahneli,oophagus_tp,tadpoles_tinc,presence_by_size
frogpool_24,frogpool_24.1,Wed Feb 13 00:00:00 GFT 2019,dead,82.3,1046.1528,25,6.4,3,3,10,11,2,0.009836066,0,0,1,0,0,0,8,1
frogpool_26,frogpool_26.1,Thu Feb 14 00:00:00 GFT 2019,dead,117,1068.144,0,6.4,3,3,10,20,1,0,1,30,0,0,0,0,0,0
frogpool_27,frogpool_27.1,Thu Feb 14 00:00:00 GFT 2019,dead,20,1416.8616,250,6.4,3,3,10,24,4,0.104675506,0,0,1,8,8,0,0,1
frogpool_28,frogpool_28.1,Thu Feb 14 00:00:00 GFT 2019,arboreal,1210,2201.738,0,8,20,4,0,283,1,0.020030957,0,0,2,0,0,0,43,2
frogpool_29,frogpool_29.1,Fri Feb 15 00:00:00 GFT 2019,alive,27,1523.99016,25,6.4,6,3,10,48,4,0.143529412,1,6,1,10,0,10,0,1
frogpool_29,frogpool_29.2,Fri Feb 15 00:00:00 GFT 2019,alive,75,564.4408,0,6.4,3,3,10,99,4,0.047457627,1,22,0,0,0,0,0,0
frogpool_30,frogpool_30.1,Fri Feb 15 00:00:00 GFT 2019,alive,37,654.60472,0,6.4,3,4,10,221,3,0.08102136,0,0,1,1,0,1,0,1
frogpool_31,frogpool_31.1,Fri Feb 15 00:00:00 GFT 2019,alive,108,395.8416,25,6.4,3,4,10,123,2,0.067669173,0,0,0,0,0,0,0,0
frogpool_32,frogpool_32.1,Mon Feb 18 00:00:00 GFT 2019,arboreal,780,127875.6864,25,6.4,10,21,0,122,3,0.019941349,0,0,2,0,0,0,5,1
frogpool_33,frogpool_33.1,Mon Feb 18 00:00:00 GFT 2019,alive,48.5,682.70895,0,6.4,6,3,10,176,1,0,1,31,1,0,0,0,0,0
frogpool_34,frogpool_34.1,Tue Feb 19 00:00:00 GFT 2019,arboreal,1250,34746.096,60,8,20,21,0,510,2,0.001223242,0,0,2,0,0,0,10,1
frogpool_34,frogpool_34.2,Tue Feb 19 00:00:00 GFT 2019,arboreal,1500,2976.1424,25,7.6,20,7,10,340,2,0.002731494,0,0,2,0,0,0,20,2
frogpool_35,frogpool_35.1,Wed Feb 20 00:00:00 GFT 2019,dead,28,2403.324,65,6.4,6,3,10,32,6,0.183010107,1,10,1,0,0,0,18,3
frogpool_35,frogpool_35.2,Wed Feb 20 00:00:00 GFT 2019,dead,35,1253.4984,35,7.2,10,3,10,82,4,0.164878049,1,8,1,0,0,0,10,3
frogpool_35,frogpool_35.3,Wed Feb 20 00:00:00 GFT 2019,dead,26,251.328,25,6.4,3,3,10,21,3,0.02962963,0,0,1,0,0,0,1,3
frogpool_35,frogpool_35.4,Wed Feb 20 00:00:00 GFT 2019,dead,40,494.802,25,6.8,6,3,10,60,4,0.064516129,3,27,1,0,0,0,2,3
frogpool_36,frogpool_36.1,Thu Feb 21 00:00:00 GFT 2019,alive,29.7,718.970868,25,6.4,6,3,10,61,1,0.03221909,0,0,1,0,0,0,1,3
frogpool_36,frogpool_36.2,Thu Feb 21 00:00:00 GFT 2019,alive,87,1225.224,135,6.4,3,3,10,82,4,0.024054524,0,0,1,0,0,0,4,1
frogpool_37,frogpool_37.1,Thu Feb 21 00:00:00 GFT 2019,alive,58,490.0896,25,6.4,3,3,0,80,4,0.034587116,0,0,1,0,0,0,1,2
frogpool_37,frogpool_37.2,Thu Feb 21 00:00:00 GFT 2019,alive,89,612.612,50,6.4,3,3,10,98,4,0.069038768,1,10,0,0,0,0,0,0
frogpool_38,frogpool_38.1,Fri Feb 22 00:00:00 GFT 2019,alive,115,144.5136,0,6.4,6,21,10,955,0,0,0,0,1,0,0,0,2,3
frogpool_38,frogpool_38.2,Fri Feb 22 00:00:00 GFT 2019,alive,37.5,185.3544,25,6.4,3,3,0,135,2,0.054794521,1,12,0,0,0,0,0,0
